,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/patch_size,config/parameters/num_heads,config/parameters/num_layers,config/parameters/embed_dim,config/device,config/seed
0,2.8934986386698065,0.48421771466269975,0.8916535377502441,0.8924907445907593,"[0.9059674739837646, 0.8947070837020874, 0.9105467796325684, 0.8775902986526489, 0.8736424446105957]",0,1752823240,checkpoint_000000,True,False,1,c4636399,2025-07-18_09-20-40,762.2110705375671,762.2110705375671,2723180,birget.uib.no,129.177.13.75,762.2110705375671,1,2.8934986386698065,0.48421771466269975,0.8916535377502441,0.8924907445907593,"[0.9059674739837646, 0.8947070837020874, 0.9105467796325684, 0.8775902986526489, 0.8736424446105957]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
1,2.057970302398504,0.48752106545199414,0.9008764028549194,0.9026091694831848,"[0.9142102003097534, 0.8997110724449158, 0.9178643226623535, 0.8900059461593628, 0.8912540078163147]",1,1752823932,checkpoint_000001,True,False,2,c4636399,2025-07-18_09-32-12,691.2490105628967,1453.4600811004639,2723180,birget.uib.no,129.177.13.75,1453.4600811004639,2,2.057970302398504,0.48752106545199414,0.9008764028549194,0.9026091694831848,"[0.9142102003097534, 0.8997110724449158, 0.9178643226623535, 0.8900059461593628, 0.8912540078163147]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
2,1.8607456693521331,0.5037834014387402,0.9022873640060425,0.904261589050293,"[0.9067474603652954, 0.8988587856292725, 0.932791531085968, 0.8970041275024414, 0.8859061598777771]",2,1752824624,checkpoint_000002,True,False,3,c4636399,2025-07-18_09-43-45,693.0768051147461,2146.53688621521,2723180,birget.uib.no,129.177.13.75,2146.53688621521,3,1.8607456693521331,0.5037834014387402,0.9022873640060425,0.904261589050293,"[0.9067474603652954, 0.8988587856292725, 0.932791531085968, 0.8970041275024414, 0.8859061598777771]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
3,1.7472628666927426,0.5111465477204138,0.9073194265365601,0.9087108373641968,"[0.9172041416168213, 0.9063694477081299, 0.9298827052116394, 0.8987020254135132, 0.891396164894104]",3,1752825316,checkpoint_000003,True,False,4,c4636399,2025-07-18_09-55-16,691.6316986083984,2838.1685848236084,2723180,birget.uib.no,129.177.13.75,2838.1685848236084,4,1.7472628666927426,0.5111465477204138,0.9073194265365601,0.9087108373641968,"[0.9172041416168213, 0.9063694477081299, 0.9298827052116394, 0.8987020254135132, 0.891396164894104]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
4,1.6682209696182606,0.5226800494107782,0.9097484350204468,0.9109371304512024,"[0.9146844744682312, 0.9080850481987, 0.9358406066894531, 0.9042758345603943, 0.8917996883392334]",4,1752826005,checkpoint_000004,True,False,5,c4636399,2025-07-18_10-06-45,688.4264633655548,3526.595048189163,2723180,birget.uib.no,129.177.13.75,3526.595048189163,5,1.6682209696182606,0.5226800494107782,0.9097484350204468,0.9109371304512024,"[0.9146844744682312, 0.9080850481987, 0.9358406066894531, 0.9042758345603943, 0.8917996883392334]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
5,1.6083533545131277,0.5543331241268828,0.9042874574661255,0.909075140953064,"[0.9047207832336426, 0.9030407071113586, 0.9368234276771545, 0.893988847732544, 0.9068024754524231]",5,1752826696,,,False,6,c4636399,2025-07-18_10-18-16,691.253267288208,4217.848315477371,2723180,birget.uib.no,129.177.13.75,4217.848315477371,6,1.6682209696182606,0.5226800494107782,0.9097484350204468,0.9109371304512024,"[0.9146844744682312, 0.9080850481987, 0.9358406066894531, 0.9042758345603943, 0.8917996883392334]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
6,1.568935921649436,0.5623549115134148,0.9177931547164917,0.9202435612678528,"[0.9239729642868042, 0.915684700012207, 0.937005341053009, 0.910448431968689, 0.9141063094139099]",6,1752827384,checkpoint_000005,True,False,7,c4636399,2025-07-18_10-29-44,687.9605939388275,4905.808909416199,2723180,birget.uib.no,129.177.13.75,4905.808909416199,7,1.568935921649436,0.5623549115134148,0.9177931547164917,0.9202435612678528,"[0.9239729642868042, 0.915684700012207, 0.937005341053009, 0.910448431968689, 0.9141063094139099]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
7,1.4059819517496916,0.6170314075256811,0.9232507348060608,0.9264852404594421,"[0.9258361458778381, 0.9186543226242065, 0.9447034597396851, 0.9188321232795715, 0.9243997931480408]",7,1752828072,checkpoint_000006,True,False,8,c4636399,2025-07-18_10-41-12,687.4728083610535,5593.281717777252,2723180,birget.uib.no,129.177.13.75,5593.281717777252,8,1.4059819517496916,0.6170314075256811,0.9232507348060608,0.9264852404594421,"[0.9258361458778381, 0.9186543226242065, 0.9447034597396851, 0.9188321232795715, 0.9243997931480408]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
8,1.3711403664304407,0.63037121511553,0.923026978969574,0.9258888959884644,"[0.9244582653045654, 0.9189012050628662, 0.9427475929260254, 0.9196383953094482, 0.9236990809440613]",8,1752828759,,,False,9,c4636399,2025-07-18_10-52-39,687.1862666606903,6280.4679844379425,2723180,birget.uib.no,129.177.13.75,6280.4679844379425,9,1.4059819517496916,0.6170314075256811,0.9232507348060608,0.9264852404594421,"[0.9258361458778381, 0.9186543226242065, 0.9447034597396851, 0.9188321232795715, 0.9243997931480408]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
9,1.3515406260832896,0.6505135946187555,0.921527624130249,0.9246186017990112,"[0.9230769276618958, 0.916813850402832, 0.9415595531463623, 0.9182242751121521, 0.9234184622764587]",9,1752829446,,,False,10,c4636399,2025-07-18_11-04-06,687.4478850364685,6967.915869474411,2723180,birget.uib.no,129.177.13.75,6967.915869474411,10,1.4059819517496916,0.6170314075256811,0.9232507348060608,0.9264852404594421,"[0.9258361458778381, 0.9186543226242065, 0.9447034597396851, 0.9188321232795715, 0.9243997931480408]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],"tensor([0.0720], device='cuda:0')","tensor([0.1629], device='cuda:0')",0.003893265918460588,0.004608773559215482,<class 'torch.optim.adamw.AdamW'>,<class 'models.VisionTransformer'>,"[1, 21]",8,8,144,cuda:0,1752685216
