,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/parameters/use_gru,config/device,config/seed
0,2.5961089062062572,0.36731149378567335,0.8898091316223145,0.877496600151062,"[0.9429999589920044, 0.9159203767776489, 0.8647599220275879, 0.839331328868866, 0.824471652507782]",0,1746749143,checkpoint_000000,True,False,1,e628b156,2025-05-09_02-05-43,1273.9105551242828,1273.9105551242828,1428283,birget.uib.no,129.177.13.75,1273.9105551242828,1,2.5961089062062572,0.36731149378567335,0.8898091316223145,0.877496600151062,"[0.9429999589920044, 0.9159203767776489, 0.8647599220275879, 0.839331328868866, 0.824471652507782]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
1,2.0338879988364984,0.36769093017558874,0.8977363109588623,0.8861486315727234,"[0.9474562406539917, 0.9213004112243652, 0.8829107880592346, 0.8495621085166931, 0.8295137286186218]",1,1746750304,checkpoint_000001,True,False,2,e628b156,2025-05-09_02-25-04,1161.2788190841675,2435.1893742084503,1428283,birget.uib.no,129.177.13.75,2435.1893742084503,2,2.0338879988364984,0.36769093017558874,0.8977363109588623,0.8861486315727234,"[0.9474562406539917, 0.9213004112243652, 0.8829107880592346, 0.8495621085166931, 0.8295137286186218]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
2,1.867229171781678,0.38741052656122366,0.9012691974639893,0.8916369676589966,"[0.9481475949287415, 0.9229696393013, 0.8929630517959595, 0.8544677495956421, 0.8396367430686951]",2,1746751467,checkpoint_000002,True,False,3,e628b156,2025-05-09_02-44-27,1162.886535167694,3598.0759093761444,1428283,birget.uib.no,129.177.13.75,3598.0759093761444,3,1.867229171781678,0.38741052656122366,0.9012691974639893,0.8916369676589966,"[0.9481475949287415, 0.9229696393013, 0.8929630517959595, 0.8544677495956421, 0.8396367430686951]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
3,1.7743277443635217,0.38508991971311146,0.9046452045440674,0.8956744074821472,"[0.9483771324157715, 0.9266078472137451, 0.899016797542572, 0.8599130511283875, 0.8444571495056152]",3,1746752631,checkpoint_000003,True,False,4,e628b156,2025-05-09_03-03-51,1164.3746993541718,4762.450608730316,1428283,birget.uib.no,129.177.13.75,4762.450608730316,4,1.7743277443635217,0.38508991971311146,0.9046452045440674,0.8956744074821472,"[0.9483771324157715, 0.9266078472137451, 0.899016797542572, 0.8599130511283875, 0.8444571495056152]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
4,1.714437516602037,0.38723166300984124,0.904262363910675,0.8936626315116882,"[0.9494839906692505, 0.9231277704238892, 0.8811239004135132, 0.8637205958366394, 0.8508572578430176]",4,1746753793,,,False,5,e628b156,2025-05-09_03-23-13,1161.104924440384,5923.5555331707,1428283,birget.uib.no,129.177.13.75,5923.5555331707,5,1.7743277443635217,0.38508991971311146,0.9046452045440674,0.8956744074821472,"[0.9483771324157715, 0.9266078472137451, 0.899016797542572, 0.8599130511283875, 0.8444571495056152]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
5,1.6716865439214645,0.396222305169497,0.902884304523468,0.8922179937362671,"[0.9486638307571411, 0.9235069155693054, 0.882267951965332, 0.8608993887901306, 0.8457522392272949]",5,1746754955,,,False,6,e628b156,2025-05-09_03-42-35,1162.8951177597046,7086.450650930405,1428283,birget.uib.no,129.177.13.75,7086.450650930405,6,1.7743277443635217,0.38508991971311146,0.9046452045440674,0.8956744074821472,"[0.9483771324157715, 0.9266078472137451, 0.899016797542572, 0.8599130511283875, 0.8444571495056152]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
6,1.6393060278445446,0.3976886399180539,0.9050995111465454,0.8960172533988953,"[0.948516845703125, 0.9235332608222961, 0.8951645493507385, 0.8652756214141846, 0.8475964665412903]",6,1746756119,checkpoint_000004,True,False,7,e628b156,2025-05-09_04-01-59,1163.7428677082062,8250.19351863861,1428283,birget.uib.no,129.177.13.75,8250.19351863861,7,1.6393060278445446,0.3976886399180539,0.9050995111465454,0.8960172533988953,"[0.948516845703125, 0.9235332608222961, 0.8951645493507385, 0.8652756214141846, 0.8475964665412903]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
7,1.54531974289385,0.40413052056230414,0.9110590219497681,0.9020764231681824,"[0.9518464207649231, 0.9304189085960388, 0.8989935517311096, 0.8712489604949951, 0.8578743934631348]",7,1746757282,checkpoint_000005,True,False,8,e628b156,2025-05-09_04-21-22,1162.6534090042114,9412.846927642822,1428283,birget.uib.no,129.177.13.75,9412.846927642822,8,1.54531974289385,0.40413052056230414,0.9110590219497681,0.9020764231681824,"[0.9518464207649231, 0.9304189085960388, 0.8989935517311096, 0.8712489604949951, 0.8578743934631348]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
8,1.510998753847149,0.4140324742604714,0.9111278057098389,0.9022248983383179,"[0.9522987604141235, 0.9300982356071472, 0.8995095491409302, 0.8715193271636963, 0.8576987981796265]",8,1746758444,checkpoint_000006,True,False,9,e628b156,2025-05-09_04-40-44,1162.2898254394531,10575.136753082275,1428283,birget.uib.no,129.177.13.75,10575.136753082275,9,1.510998753847149,0.4140324742604714,0.9111278057098389,0.9022248983383179,"[0.9522987604141235, 0.9300982356071472, 0.8995095491409302, 0.8715193271636963, 0.8576987981796265]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
9,1.4916495892318502,0.4170374492456582,0.9099999666213989,0.9008923768997192,"[0.9520451426506042, 0.9292306303977966, 0.8955044150352478, 0.8690416216850281, 0.8586398363113403]",9,1746759608,,,False,10,e628b156,2025-05-09_05-00-08,1163.9543685913086,11739.091121673584,1428283,birget.uib.no,129.177.13.75,11739.091121673584,10,1.510998753847149,0.4140324742604714,0.9111278057098389,0.9022248983383179,"[0.9522987604141235, 0.9300982356071472, 0.8995095491409302, 0.8715193271636963, 0.8576987981796265]",100,128,"['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2815]),tensor([0.4283]),0.0003151963201770842,0.0001914610989507982,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,4,576,True,cuda:0,1746719476
