,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/parameters/use_gru,config/device,config/seed
0,2.8774904665223797,0.3835309819087086,0.8834575414657593,0.8714964985847473,"[0.9437769651412964, 0.909965991973877, 0.8709126710891724, 0.8241145014762878, 0.8087126612663269]",0,1747767753,checkpoint_000000,True,False,1,2de4631f,2025-05-20_21-02-33,1153.7564454078674,1153.7564454078674,3755625,birget.uib.no,129.177.13.75,1153.7564454078674,1,2.8774904665223797,0.3835309819087086,0.8834575414657593,0.8714964985847473,"[0.9437769651412964, 0.909965991973877, 0.8709126710891724, 0.8241145014762878, 0.8087126612663269]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
1,2.193394050129217,0.377351915756328,0.8905477523803711,0.879546046257019,"[0.9420363903045654, 0.9135871529579163, 0.8747928738594055, 0.8421162366867065, 0.8251979351043701]",0,1747768795,checkpoint_000001,True,False,2,2de4631f,2025-05-20_21-19-55,1041.9118905067444,2195.668335914612,3755625,birget.uib.no,129.177.13.75,2195.668335914612,2,2.193394050129217,0.377351915756328,0.8905477523803711,0.879546046257019,"[0.9420363903045654, 0.9135871529579163, 0.8747928738594055, 0.8421162366867065, 0.8251979351043701]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
2,1.9820278783262624,0.378213165230399,0.8949763178825378,0.883478045463562,"[0.9454183578491211, 0.9149186015129089, 0.8717775344848633, 0.8511612415313721, 0.8341146111488342]",1,1747769833,checkpoint_000002,True,False,3,2de4631f,2025-05-20_21-37-13,1038.521842956543,3234.190178871155,3755625,birget.uib.no,129.177.13.75,3234.190178871155,3,1.9820278783262624,0.378213165230399,0.8949763178825378,0.883478045463562,"[0.9454183578491211, 0.9149186015129089, 0.8717775344848633, 0.8511612415313721, 0.8341146111488342]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
3,1.856546296638335,0.384533661043884,0.9007865786552429,0.890222430229187,"[0.9474888443946838, 0.9227983951568604, 0.8853037357330322, 0.8573307394981384, 0.8381906747817993]",2,1747770875,checkpoint_000003,True,False,4,2de4631f,2025-05-20_21-54-35,1041.995381116867,4276.185559988022,3755625,birget.uib.no,129.177.13.75,4276.185559988022,4,1.856546296638335,0.384533661043884,0.9007865786552429,0.890222430229187,"[0.9474888443946838, 0.9227983951568604, 0.8853037357330322, 0.8573307394981384, 0.8381906747817993]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
4,1.773305793367856,0.39546282755448514,0.8984916806221008,0.8888747096061707,"[0.9420257210731506, 0.9192821979522705, 0.8859754800796509, 0.8580581545829773, 0.8390322327613831]",3,1747771920,,,False,5,2de4631f,2025-05-20_22-12-00,1045.120216846466,5321.305776834488,3755625,birget.uib.no,129.177.13.75,5321.305776834488,5,1.856546296638335,0.384533661043884,0.9007865786552429,0.890222430229187,"[0.9474888443946838, 0.9227983951568604, 0.8853037357330322, 0.8573307394981384, 0.8381906747817993]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
5,1.713235492305168,0.39565330819795597,0.9027222990989685,0.8918216824531555,"[0.9483883380889893, 0.9209709167480469, 0.8780066967010498, 0.8637423515319824, 0.8480001091957092]",4,1747772960,checkpoint_000004,True,False,6,2de4631f,2025-05-20_22-29-20,1039.3343558311462,6360.640132665634,3755625,birget.uib.no,129.177.13.75,6360.640132665634,6,1.713235492305168,0.39565330819795597,0.9027222990989685,0.8918216824531555,"[0.9483883380889893, 0.9209709167480469, 0.8780066967010498, 0.8637423515319824, 0.8480001091957092]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
6,1.661345241024596,0.4020470728010139,0.9037120342254639,0.893900990486145,"[0.9472284317016602, 0.9243898391723633, 0.888415515422821, 0.8620581030845642, 0.8474128246307373]",5,1747774004,checkpoint_000005,True,False,7,2de4631f,2025-05-20_22-46-44,1044.1977393627167,7404.837872028351,3755625,birget.uib.no,129.177.13.75,7404.837872028351,7,1.661345241024596,0.4020470728010139,0.9037120342254639,0.893900990486145,"[0.9472284317016602, 0.9243898391723633, 0.888415515422821, 0.8620581030845642, 0.8474128246307373]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
7,1.6235002869678334,0.4087606542862502,0.9035433530807495,0.892342746257782,"[0.9473298192024231, 0.9280651807785034, 0.8816734552383423, 0.8623514771461487, 0.8422937989234924]",6,1747775042,,,False,8,2de4631f,2025-05-20_23-04-02,1038.1889441013336,8443.026816129684,3755625,birget.uib.no,129.177.13.75,8443.026816129684,8,1.661345241024596,0.4020470728010139,0.9037120342254639,0.893900990486145,"[0.9472284317016602, 0.9243898391723633, 0.888415515422821, 0.8620581030845642, 0.8474128246307373]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
8,1.5376712388901914,0.42138826219027475,0.9091826677322388,0.8999592661857605,"[0.9501087665557861, 0.9287428259849548, 0.8943970799446106, 0.8701287508010864, 0.8564188480377197]",7,1747776077,checkpoint_000006,True,False,9,2de4631f,2025-05-20_23-21-17,1034.5924999713898,9477.619316101074,3755625,birget.uib.no,129.177.13.75,9477.619316101074,9,1.5376712388901914,0.42138826219027475,0.9091826677322388,0.8999592661857605,"[0.9501087665557861, 0.9287428259849548, 0.8943970799446106, 0.8701287508010864, 0.8564188480377197]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
9,1.5123323652699094,0.4263716777699106,0.908145010471344,0.8990036845207214,"[0.9495677351951599, 0.9272125959396362, 0.8940768837928772, 0.8689810633659363, 0.855180561542511]",8,1747777112,,,False,10,2de4631f,2025-05-20_23-38-32,1035.0475142002106,10512.666830301285,3755625,birget.uib.no,129.177.13.75,10512.666830301285,10,1.5376712388901914,0.42138826219027475,0.9091826677322388,0.8999592661857605,"[0.9501087665557861, 0.9287428259849548, 0.8943970799446106, 0.8701287508010864, 0.8564188480377197]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.2817]),tensor([0.4284]),0.0003651633736641075,6.82177402914845e-06,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,5,288,False,cuda:0,1747683502
