,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_layers,config/parameters/hidden_size,config/parameters/use_gru,config/device,config/seed
0,3.3114832852391287,0.3714226698476956,0.8496666550636292,0.8120859861373901,"[0.9620345830917358, 0.8870401382446289, 0.7159460186958313, 0.7664384245872498, 0.7289708852767944]",0,1747028748,checkpoint_000000,True,False,1,5eb5e81a,2025-05-12_07-45-52,403.2169680595398,403.2169680595398,3619934,birget.uib.no,129.177.13.75,403.2169680595398,1,3.3114832852391287,0.3714226698476956,0.8496666550636292,0.8120859861373901,"[0.9620345830917358, 0.8870401382446289, 0.7159460186958313, 0.7664384245872498, 0.7289708852767944]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
1,2.7619041360618803,0.348475522400609,0.8674619197845459,0.8411407470703125,"[0.9664788246154785, 0.9052508473396301, 0.7977431416511536, 0.7854850888252258, 0.7507460713386536]",0,1747029086,checkpoint_000001,True,False,2,5eb5e81a,2025-05-12_07-51-26,334.1302206516266,737.3471887111664,3619934,birget.uib.no,129.177.13.75,737.3471887111664,2,2.7619041360618803,0.348475522400609,0.8674619197845459,0.8411407470703125,"[0.9664788246154785, 0.9052508473396301, 0.7977431416511536, 0.7854850888252258, 0.7507460713386536]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
2,2.590628242944922,0.33161306314813727,0.8766372203826904,0.849926769733429,"[0.9658569097518921, 0.9154262542724609, 0.8011359572410583, 0.8045603036880493, 0.7626544237136841]",0,1747029418,checkpoint_000002,True,False,3,5eb5e81a,2025-05-12_07-57-10,344.207279920578,1081.5544686317444,3619934,birget.uib.no,129.177.13.75,1081.5544686317444,3,2.590628242944922,0.33161306314813727,0.8766372203826904,0.849926769733429,"[0.9658569097518921, 0.9154262542724609, 0.8011359572410583, 0.8045603036880493, 0.7626544237136841]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
3,2.4813509910291796,0.3283180876694682,0.8777186274528503,0.8475238084793091,"[0.9666116237640381, 0.9135248064994812, 0.766243577003479, 0.8122414350509644, 0.7789974808692932]",0,1747029765,checkpoint_000003,True,False,4,5eb5e81a,2025-05-12_08-02-49,338.442257642746,1419.9967262744904,3619934,birget.uib.no,129.177.13.75,1419.9967262744904,4,2.4813509910291796,0.3283180876694682,0.8777186274528503,0.8475238084793091,"[0.9666116237640381, 0.9135248064994812, 0.766243577003479, 0.8122414350509644, 0.7789974808692932]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
4,2.3942829693430756,0.31632909959073185,0.8849420547485352,0.8601258993148804,"[0.966882586479187, 0.9189466834068298, 0.809796929359436, 0.8227613568305969, 0.782241702079773]",0,1747030103,checkpoint_000004,True,False,5,5eb5e81a,2025-05-12_08-08-23,334.2792375087738,1754.2759637832642,3619934,birget.uib.no,129.177.13.75,1754.2759637832642,5,2.3942829693430756,0.31632909959073185,0.8849420547485352,0.8601258993148804,"[0.966882586479187, 0.9189466834068298, 0.809796929359436, 0.8227613568305969, 0.782241702079773]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
5,2.3212870550212172,0.31884701056068654,0.880790114402771,0.8539875149726868,"[0.9688602089881897, 0.9164120554924011, 0.7850565910339355, 0.811330258846283, 0.7882785797119141]",1,1747030441,,,False,6,5eb5e81a,2025-05-12_08-14-01,338.29595375061035,2092.5719175338745,3619934,birget.uib.no,129.177.13.75,2092.5719175338745,6,2.3942829693430756,0.31632909959073185,0.8849420547485352,0.8601258993148804,"[0.966882586479187, 0.9189466834068298, 0.809796929359436, 0.8227613568305969, 0.782241702079773]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
6,2.2670700965580606,0.3080299890140969,0.8855392932891846,0.8590925931930542,"[0.9688593149185181, 0.9186429381370544, 0.7963035106658936, 0.8213414549827576, 0.7903160452842712]",0,1747030775,checkpoint_000005,True,False,7,5eb5e81a,2025-05-12_08-19-45,343.65989208221436,2436.231809616089,3619934,birget.uib.no,129.177.13.75,2436.231809616089,7,2.2670700965580606,0.3080299890140969,0.8855392932891846,0.8590925931930542,"[0.9688593149185181, 0.9186429381370544, 0.7963035106658936, 0.8213414549827576, 0.7903160452842712]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
7,2.218197282489829,0.2978970643371593,0.8894911408424377,0.8661879301071167,"[0.9689860343933105, 0.9215764403343201, 0.8163421154022217, 0.8258171677589417, 0.7982181310653687]",0,1747031119,checkpoint_000006,True,False,8,5eb5e81a,2025-05-12_08-25-19,334.200715303421,2770.43252491951,3619934,birget.uib.no,129.177.13.75,2770.43252491951,8,2.218197282489829,0.2978970643371593,0.8894911408424377,0.8661879301071167,"[0.9689860343933105, 0.9215764403343201, 0.8163421154022217, 0.8258171677589417, 0.7982181310653687]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
8,2.173818861017866,0.29761760048879554,0.8900193572044373,0.8663598895072937,"[0.9692532420158386, 0.923962414264679, 0.8134111762046814, 0.8270696401596069, 0.7981031537055969]",0,1747031452,checkpoint_000007,True,False,9,5eb5e81a,2025-05-12_08-31-00,340.6089551448822,3111.041480064392,3619934,birget.uib.no,129.177.13.75,3111.041480064392,9,2.173818861017866,0.29761760048879554,0.8900193572044373,0.8663598895072937,"[0.9692532420158386, 0.923962414264679, 0.8134111762046814, 0.8270696401596069, 0.7981031537055969]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
9,2.1395156999699942,0.30356742209212695,0.8882462978363037,0.8622993230819702,"[0.969447672367096, 0.9174526333808899, 0.7967671155929565, 0.8265829682350159, 0.8012466430664062]",1,1747031796,,,False,10,5eb5e81a,2025-05-12_08-36-36,335.5001769065857,3446.541656970978,3619934,birget.uib.no,129.177.13.75,3446.541656970978,10,2.173818861017866,0.29761760048879554,0.8900193572044373,0.8663598895072937,"[0.9692532420158386, 0.923962414264679, 0.8134111762046814, 0.8270696401596069, 0.7981031537055969]",100,128,"['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_train.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_train.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_train.pt']","['/Home/siv32/rfo034/master-thesis/data/ENST+MDB/enst+mdb_validation.pt', '/Home/siv32/rfo034/master-thesis/data/slakh2100_flac_redux/slakh_validation.pt', '/Home/siv32/rfo034/master-thesis/data/adtof/adtof_yt_validation.pt']",tensor([0.5967]),tensor([0.5040]),0.0016801477904614757,0.0021956321600958987,<class 'torch.optim.adamw.AdamW'>,<class 'models.ADTOF_FrameRNN'>,3,288,False,cuda:0,1746906789
